x,stress,truck_position,source,position
[m],[MPa],[-],[-],[-]
28.920840909091055,27.52953,right,measurement,H1_S
29.041181818181965,27.538140000000002,right,measurement,H1_S
29.161522727272875,27.594420000000003,right,measurement,H1_S
29.281863636363784,27.60912,right,measurement,H1_S
29.402204545454694,27.539610000000003,right,measurement,H1_S
29.522545454545604,27.372030000000002,right,measurement,H1_S
29.642886363636514,27.121080000000003,right,measurement,H1_S
29.763227272727423,26.77395,right,measurement,H1_S
29.883568181818333,26.374530000000004,right,measurement,H1_S
30.003909090909243,26.00157,right,measurement,H1_S
30.124250000000153,25.61832,right,measurement,H1_S
30.244590909091063,25.27812,right,measurement,H1_S
30.364931818181972,25.01415,right,measurement,H1_S
30.485272727272882,24.831870000000002,right,measurement,H1_S
30.605613636363792,24.69432,right,measurement,H1_S
30.7259545454547,24.626279999999998,right,measurement,H1_S
30.84629545454561,24.56265,right,measurement,H1_S
30.96663636363652,24.48516,right,measurement,H1_S
31.08697727272743,24.36315,right,measurement,H1_S
31.20731818181834,24.177090000000003,right,measurement,H1_S
31.32765909090925,23.92425,right,measurement,H1_S
31.44800000000016,23.59749,right,measurement,H1_S
31.56834090909107,23.211090000000002,right,measurement,H1_S
31.68868181818198,22.827840000000002,right,measurement,H1_S
31.809022727272886,22.38663,right,measurement,H1_S
31.9293636363638,22.008000000000003,right,measurement,H1_S
32.0497045454547,21.676199999999998,right,measurement,H1_S
32.170045454545615,21.42441,right,measurement,H1_S
32.29038636363652,21.282449999999997,right,measurement,H1_S
32.410727272727435,21.21903,right,measurement,H1_S
32.53106818181834,21.21693,right,measurement,H1_S
32.651409090909254,21.21126,right,measurement,H1_S
32.77175000000016,21.227010000000003,right,measurement,H1_S
32.892090909091074,21.1974,right,measurement,H1_S
33.01243181818198,21.08274,right,measurement,H1_S
33.132772727272894,20.89878,right,measurement,H1_S
33.2531136363638,20.678490000000004,right,measurement,H1_S
33.37345454545471,20.38869,right,measurement,H1_S
33.49379545454562,20.041140000000002,right,measurement,H1_S
33.61413636363653,19.65915,right,measurement,H1_S
33.73447727272744,19.260360000000002,right,measurement,H1_S
33.85481818181835,18.890970000000003,right,measurement,H1_S
33.97515909090926,18.55266,right,measurement,H1_S
34.09550000000017,18.2574,right,measurement,H1_S
34.21584090909108,18.057479999999998,right,measurement,H1_S
34.33618181818199,17.886120000000002,right,measurement,H1_S
34.4565227272729,17.76642,right,measurement,H1_S
34.57686363636381,17.731980000000004,right,measurement,H1_S
34.69720454545472,17.70006,right,measurement,H1_S
34.81754545454563,17.657010000000003,right,measurement,H1_S
34.93788636363654,17.62677,right,measurement,H1_S
35.05822727272745,17.535840000000004,right,measurement,H1_S
35.178568181818356,17.37309,right,measurement,H1_S
35.29890909090927,17.200470000000003,right,measurement,H1_S
35.419250000000176,16.968420000000005,right,measurement,H1_S
35.53959090909109,16.62486,right,measurement,H1_S
35.659931818181995,16.26513,right,measurement,H1_S
35.7802727272729,15.889020000000004,right,measurement,H1_S
35.900613636363815,15.495690000000003,right,measurement,H1_S
36.02095454545472,15.187620000000003,right,measurement,H1_S
36.141295454545634,14.884170000000001,right,measurement,H1_S
36.26163636363654,14.659680000000002,right,measurement,H1_S
36.381977272727454,14.506800000000002,right,measurement,H1_S
36.50231818181836,14.360640000000002,right,measurement,H1_S
36.62265909090927,14.270340000000001,right,measurement,H1_S
36.74300000000018,14.21091,right,measurement,H1_S
36.86334090909109,14.1477,right,measurement,H1_S
36.983681818182,14.07714,right,measurement,H1_S
37.10402272727291,13.984320000000002,right,measurement,H1_S
37.22436363636382,13.866090000000002,right,measurement,H1_S
37.34470454545473,13.688220000000003,right,measurement,H1_S
